DateTime,AddedIPs,RemovedIPs
1509560918,2,0
1509563059,1,0
1509564031,2,1
1509566104,1,1
1509567049,0,1
1509568943,0,1
1509570879,2,1
1509572743,1,1
1509573645,0,1
1509576330,1,0
1509577840,1,1
1509579937,2,2
1509581439,1,1
1509582938,0,3
1509585337,1,4
1509586238,0,2
1509586950,0,1
1509588465,2,1
1509594027,1,0
1509595836,2,1
1509597938,1,0
1509599441,2,0
1509600933,3,0
1509601785,1,0
1509603045,0,3
1509613259,0,1
1509614136,1,0
1509619237,1,1
1509621038,0,1
1509629312,1,0
1509630336,1,1
1509634564,1,0
1509637357,0,1
1509639280,0,1
1509640239,0,1
1509642644,1,0
1509643487,1,0
1509646234,0,1
1509646468,1,0
1509648334,2,2
1509649770,1,2
1509651755,1,1
1509653440,0,1
1509654913,0,1
1509655845,1,0
1509657338,3,0
1509658531,0,5
1509659457,0,1
1509660649,1,0
1509661665,1,0
1509662561,0,1
1509663420,1,0
1509664241,0,1
1509666152,1,3
1509669874,1,0
1509671660,0,3
1509672635,0,15
1509673534,0,1
1509675036,1,0
1509676844,2,2
1509678642,0,2
1509678868,1,0
1509681030,2,1
1509682045,3,1
1509683134,0,1
1509684162,3,0
1509686086,4,9
1509687035,0,1
1509689676,1,0
1509690641,0,1
1509691850,0,2
1509693040,2,3
1509694959,1,4
1509696644,0,5
1509698560,1,3
1509700483,2,3
1509701691,2,2
1509702633,1,0
1509703846,1,0
1509705644,1,1
1509706547,2,0
1509707438,1,6
1509708639,1,2
1509711038,1,0
1509713141,5,0
1509714051,1,1
1509714877,1,0
1509715845,2,0
1509718172,2,0
1509721286,2,2
1509722139,1,0
1509729269,0,1
1509730238,3,2
1509730955,1,0
1509732369,3,0
1509733243,0,1
1509734441,0,2
1509739833,2,2
1509741045,2,0
1509742390,1,0
1509743444,1,1
1509745835,0,1
1509746969,2,1
1509749446,1,0
1509750934,1,0
1509751843,1,1
1509754540,1,2
1509755435,1,0
1509756164,1,1
1509756994,0,1
1509757841,0,1
1509759755,0,2
1509762646,0,2
1509763540,1,0
1509764568,0,1
1509765638,0,1
1509766839,1,2
1509767748,1,0
1509770557,1,3
1509771656,3,1
1509773444,2,0
1509777042,4,0
1509777920,0,1
1509781537,0,2
1509782386,3,1
1509783280,1,0
1509784243,2,0
1509784960,2,0
1509785799,2,0
1509786642,2,0
1509787837,3,0
1509790480,4,0
1509791441,0,1
1509792340,0,1
1509792993,1,0
1509794069,0,1
1509795039,1,0
1509795935,2,1
1509797438,2,1
1509799517,0,1
1509801042,0,1
1509803135,3,0
1509804636,1,1
1509805838,1,0
1509809423,1,0
1509811640,2,1
1509813941,0,1
1509816386,1,1
1509817229,0,1
1509818187,1,0
1509819261,0,1
1509822111,1,0
1509823841,1,1
1509824734,0,1
1509828034,0,1
1509828994,1,0
1509829836,1,1
1509831754,0,1
1509833439,3,0
1509834509,1,0
1509835360,1,1
1509838110,1,0
1509838942,0,1
1509843333,4,0
1509845307,1,0
1509846320,1,4
1509847468,1,0
1509848445,1,0
1509848927,1,0
1509849938,0,2
1509851740,1,1
1509852636,2,1
1509853361,0,1
1509855037,1,2
1509857135,1,4
1509858634,1,0
1509859708,0,1
1509860552,0,2
1509862242,0,1
1509864987,0,2
1509865838,3,0
1509867755,0,2
1509869217,0,2
1509870044,1,0
1509870923,2,1
1509872751,3,1
1509873650,1,0
1509874550,1,1
1509876636,2,3
1509877718,1,0
1509879900,1,1
1509883585,2,1
1509884444,0,2
1509885748,0,3
1509887669,1,2
1509888635,0,1
1509889543,0,2
1509891268,2,5
1509894640,1,0
1509895837,1,0
1509896552,1,0
1509897684,1,0
1509898538,1,0
1509900337,1,1
1509902440,1,0
1509903754,1,0
1509907535,1,1
1509911321,1,0
1509913241,1,1
1509914127,1,0
1509914555,0,1
1509915393,1,0
1509916241,0,1
1509918154,3,0
1509919173,0,1
1509921863,1,0
1509923670,2,0
1509926519,1,6
1509927273,1,0
1509928232,1,1
1509930880,1,2
1509931841,1,2
1509933388,1,0
1509934243,1,1
1509935321,1,0
1509937290,1,0
1509938136,0,1
1509941437,0,3
1509942632,1,1
1509943353,1,0
1509946110,1,0
1509946962,1,2
1509948647,2,1
1509949844,1,1
1509950563,1,1
1509952469,1,5
1509954336,0,5
1509955839,1,2
1509956928,3,1
1509957956,6,5
1509958595,2,0
1509959437,2,2
1509959676,1,1
1509960637,1,4
1509963275,4,2
1509964257,0,1
1509965141,0,2
1509968556,1,1
1509970237,1,1
1509972338,1,4
1509972991,1,0
1509973839,1,1
1509975642,1,2
1509976465,2,0
1509978185,1,0
1509979243,1,3
1509981033,3,2
1509982107,1,3
1509982963,2,2
1509985242,0,1
1509986550,1,0
1509987660,0,3
1509988545,1,0
1509990992,0,1
1509992067,2,2
1509993032,0,1
1509999044,2,1
1510000074,2,2
1510001139,1,1
1510002645,1,4
1510005386,1,2
1510007431,0,1
1510008335,1,0
1510009272,3,0
1510012020,0,1
1510013438,1,3
1510015352,0,1
1510017037,0,2
1510018837,0,3
1510019739,1,0
1510020666,0,1
1510023445,1,0
1510024538,1,0
1510025432,1,2
1510028721,1,0
1510029761,0,1
1510031668,1,0
1510034700,0,1
1510035644,2,0
1510038644,1,0
1510040742,2,3
1510042243,4,3
1510044155,4,1
1510045509,4,0
1510046443,3,0
1510047428,16,4
1510049439,7,3
1510050266,1,0
1510051355,1,0
1510052477,2,3
1510053268,0,1
