DateTime,Entries,UniqueIPs
1509001649,89,89
1509005231,119,119
1509008835,117,117
1509012452,116,116
1509016039,114,114
1509019651,81,81
1509023235,78,78
1509026840,75,75
1509030439,80,80
1509034040,76,76
1509037640,71,71
1509041234,116,116
1509044832,121,121
1509048458,120,120
1509052041,114,114
1509055641,79,79
1509059257,73,73
1509062874,82,82
1509066439,78,78
1509070049,90,90
1509073651,89,89
1509077251,82,82
1509080843,87,87
1509084440,79,79
1509088021,106,106
1509091649,98,98
1509095233,98,98
1509098831,99,99
1509102444,81,81
1509106052,91,91
1509109640,94,94
1509113248,90,90
1509116829,117,117
1509120455,115,115
1509124036,112,112
1509127669,115,115
1509131247,74,74
1509134841,83,83
1509138463,86,86
1509142063,79,79
1509145651,80,80
1509149268,74,74
1509152850,73,73
1509156437,71,71
1509160042,66,66
1509163658,61,61
1509167228,119,119
1509174439,120,120
1509178031,121,121
1509181636,79,79
1509185258,94,94
1509188858,94,94
1509192433,112,112
1509199624,110,110
1509203212,122,122
1509206826,123,123
1509210446,117,117
1509214057,118,118
1509217651,93,93
1509221252,86,86
1509224848,70,70
1509228453,74,74
1509232045,71,71
1509235675,67,67
1509239263,74,74
1509242873,70,70
1509246460,70,70
1509250052,70,70
1509253646,93,93
1509257264,96,96
1509260864,98,98
1509264455,113,113
1509268055,119,119
1509271661,122,122
1509275257,123,123
1509278872,121,121
1509282463,114,114
1509286062,102,102
1509289674,89,89
1509293265,86,86
1509296866,82,82
1509300467,79,79
1509304051,76,76
1509307669,70,70
1509311250,112,112
1509314876,115,115
1509318474,117,117
1509322086,119,119
1509325661,114,114
1509329234,117,117
1509332861,118,118
1509336459,116,116
1509340058,113,113
1509343647,98,98
1509347262,98,98
1509350864,89,89
1509354458,96,96
1509358066,89,89
1509361656,86,86
1509365254,81,81
1509368858,76,76
1509372456,61,61
1509376069,60,60
1509379650,60,60
1509383272,58,58
1509386863,61,61
1509390474,58,58
1509394039,79,79
1509397658,79,79
1509401252,79,79
1509404853,77,77
1509408504,85,85
1509412077,89,89
1509415651,87,87
1509419264,87,87
1509422865,79,79
1509426462,75,75
1509430043,96,96
1509433660,97,97
1509437259,102,102
1509440843,113,113
1509444450,119,119
1509448080,122,122
1509451673,121,121
1509455266,113,113
1509458866,71,71
1509462445,115,115
1509466053,115,115
1509469658,116,116
1509476865,70,70
1509480462,71,71
1509484043,74,74
1509487664,103,103
1509491258,101,101
1509494899,103,103
1509498454,110,110
1509502061,102,102
1509505648,101,101
1509509264,98,98
1509512873,77,77
1509516465,106,106
1509520067,108,108
1509523669,110,110
1509527264,112,112
1509530893,85,85
1509534455,90,90
1509541679,81,81
1509545260,78,78
1509548854,78,78
1509552466,66,66
1509556065,67,67
1509559647,68,68
1509563266,69,69
1509566874,72,72
1509570453,66,66
1509574061,72,72
1509577669,82,82
1509581305,85,85
1509584857,82,82
1509588465,96,96
1509592051,114,114
1509595656,113,113
1509599259,117,117
1509602866,114,114
1509606458,91,91
1509610060,96,96
1509613657,95,95
1509617258,93,93
1509620877,97,97
1509624470,80,80
1509628068,97,97
1509631666,98,98
1509635266,99,99
1509638864,98,98
1509642475,92,92
1509646060,103,103
1509649673,85,85
1509653268,92,92
1509656868,93,93
1509660451,86,86
1509664069,92,92
1509667707,85,85
1509671236,98,98
1509674822,86,86
1509678423,96,96
1509682046,93,93
1509685635,110,110
1509689226,108,108
1509692834,100,100
1509696456,95,95
1509700041,76,76
1509703634,81,81
1509707250,79,79
1509710845,86,86
1509714432,106,106
1509718039,106,106
1509721648,108,108
1509725232,106,106
1509728828,78,78
1509732437,87,87
1509736043,103,103
1509739653,104,104
1509743232,117,117
1509746832,117,117
1509750451,117,117
1509754068,118,118
1509757642,118,118
1509761239,119,119
1509764848,112,112
1509768454,113,113
1509772021,111,111
1509775666,115,115
1509779223,114,114
1509782847,114,114
1509786440,93,93
1509790059,84,84
1509793643,92,92
1509797243,98,98
1509800860,95,95
1509804448,95,95
1509808033,97,97
1509811631,87,87
1509815231,105,105
1509818835,120,120
1509822435,123,123
1509829656,119,119
1509833238,114,114
1509836855,89,89
1509840475,93,93
1509844041,97,97
1509847649,89,89
1509851246,86,86
1509854848,85,85
1509858441,75,75
1509862040,113,113
1509865640,113,113
1509869234,110,110
1509872832,111,111
1509876434,114,114
1509880043,114,114
1509883651,117,117
1509887247,115,115
1509890816,116,116
1509894437,115,115
1509898050,116,116
1509901651,115,115
1509905244,114,114
1509908836,114,114
1509912438,111,111
1509916046,119,119
1509919652,115,115
1509926885,104,104
1509930448,85,85
1509934046,98,98
1509937628,96,96
1509941257,99,99
1509944839,99,99
1509948443,76,76
1509952029,73,73
1509955651,90,90
1509959216,117,117
1509962856,116,116
1509966460,118,118
1509970063,113,113
1509973640,76,76
1509977269,74,74
1509980849,81,81
1509984457,82,82
1509988040,109,109
1509991646,109,109
1509995240,107,107
1509998843,106,106
1510002448,95,95
1510006047,100,100
1510009651,97,97
1510013286,98,98
1510016858,91,91
1510020449,75,75
1510024060,75,75
1510027639,72,72
1510031245,69,69
1510034856,72,72
1510038460,70,70
1510042039,72,72
1510045645,77,77
1510049252,79,79
1510052838,84,84
